Produto,Quantidade,Preco (R$),Categoria
Camiseta,10,29.99,Masculino
Calça,5,79.99,Feminino
Vestido,7,49.99,Feminino
Saia,12,39.99,Feminino
Casaco,3,119.99,Masculino
Blusa,8,34.99,Feminino
Short,6,24.99,Masculino
Terno,2,199.99,Masculino
Macacão,4,89.99,Feminino
Jaqueta,9,149.99,Masculino
Camiseta,10,29.99,Masculino
Calça,5,79.99,Feminino
Vestido,7,49.99,Feminino
Saia,12,39.99,Feminino
Casaco,3,119.99,Masculino
Blusa,8,34.99,Feminino
Short,6,24.99,Masculino
Terno,2,199.99,Masculino
Macacão,4,89.99,Feminino
Jaqueta,9,149.99,Masculino
Camiseta,10,29.99,Masculino
Calça,5,79.99,Feminino
Vestido,7,49.99,Feminino
Saia,12,39.99,Feminino
Casaco,3,119.99,Masculino
Blusa,8,34.99,Feminino
Short,6,24.99,Masculino
Terno,2,199.99,Masculino
Macacão,4,89.99,Feminino
Jaqueta,9,149.99,Masculino
Camiseta,10,29.99,Masculino
Calça,5,79.99,Feminino
Vestido,7,49.99,Feminino
Saia,12,39.99,Feminino
Casaco,3,119.99,Masculino
Blusa,8,34.99,Feminino
Short,6,24.99,Masculino
Terno,2,199.99,Masculino
Macacão,4,89.99,Feminino
Jaqueta,9,149.99,Masculino
Camiseta,10,29.99,Masculino
Calça,5,79.99,Feminino
Vestido,7,49.99,Feminino
Saia,12,39.99,Feminino
Casaco,3,119.99,Masculino
Blusa,8,34.99,Feminino
Short,6,24.99,Masculino
Terno,2,199.99,Masculino
Macacão,4,89.99,Feminino
Jaqueta,9,149.99,Masculino
